artist,track,play_count
Zero 7,In the Waiting Line,633
Bill Withers,Ain't No Sunshine,303
Frou Frou,Let Go,280
Andrew Belle,All Those Pretty Lights,237
Clint Mansell,Death Is the Road to Awe,195
Oren Lavie,Her Morning Elegance,142
Thievery Corporation,Lebanese Blonde,138
Gustavo Santaolalla,Chivo Groove,134
Gustavo Santaolalla,Can We Mix the Unmixable? (remix),118
Coldplay,Don't Panic,102
Phoenix,Girlfriend,85
The Smiths,There Is a Light That Never Goes Out,73
Radiohead,There There,72
A.R. Rahman,Athiradee Kaalam,71
Radiohead,High and Dry,70
Opeth,Hope Leaves,69
Devendra Banhart,Carmensita,68
Two Door Cinema Club,Undercover Martyn,68
Coldplay,Crest of Waves,65
Cary Brothers,Blue Eyes,64
Iron & Wine,Naked As We Came,64
The Virgins,Rich Girls,62
The Weeknd,Starboy (feat. Daft Punk),60
Amit Trivedi,Suno Aisha,60
The Shins,New Slang,59
Phoenix,Lasso,57
Amit Trivedi,Nayan Tarse [Dev D],55
Papon [www.DJMaza.Com],Jiyein Kyun [www.DJMaza.Com],53
Aerosmith,Sweet Emotion,53
A.R. Rahman,Vaada Vaada Vanki,53
Shilpa Rao & Kshitij Tarey,Dhol Yaara Dhol [Dev D],51
Wildcat! Wildcat!,Sentimental,51
A.R. Rahman,Vinnaithaandi Varuvaayaa,51
Preetam,Kya Mujhe Pyaar Hai (remix),50
Bitter:Sweet,Overdue,50
Two Door Cinema Club,What You Know,50
A.R. Rahman,Oru Kudai Sunlight,49
Rubies,Room Without A Key,49
A.R. Rahman,Sooriyanum Santhira,48
The Temper Trap,Sweet Disposition,48
K.K.,Aarya - 2 .02. Uppenantha,46
Gustavo Santaolalla,"When Our Wings Are Cut, Can We Still Fly? (Performed By The Kronos Quartet)",46
Two Door Cinema Club,Cigarettes in the Theatre,45
Katatonia,Follower,44
A.R. Rahman,New York,44
Thievery Corporation,Strange Days,44
The Doors,Ghost Song,43
Phoenix,1901,42
Aerosmith,Dream On,42
The Doors,Roadhouse Blues,42
Simon & Garfunkel,The Only Living Boy in New York,42
Coldplay,Things I Don't Understand,42
Two Door Cinema Club,This Is the Life,41
Riverside,I Believe,40
The Hollies,Long Cool Woman (in a Black Dress),40
Nine Inch Nails,Just Like You Imagined,39
Foals,Mountain At My Gates,39
A.R. Rahman,Sahaana Saaral,39
Aerosmith,Walk This Way,39
Marian Hill,Down,38
The Smiths,"Please, Please, Please, Let Me Get What I Want",38
A.R. Rahman,Sahara Pokkal Poo,38
Norah Jones,Thinking About You,38
A.R. Rahman,Vaa Ji Vaa Ji,38
Phoenix,Fences,37
Red Hot Chili Peppers,Hey,37
Cary Brothers,Ride,37
Two Door Cinema Club,Something Good Can Work,37
Two Door Cinema Club,Come Back Home,36
Earth Wind & Fire / Fatboy Slim,September/The Joker (Shinichi Osawa Remix),36
Coldplay,Such a Rush,36
The Radio Dept.,Freddie And The Trojan Horse,35
Shankar Ehsan Loy,Mitwa,35
Two Door Cinema Club,Ordinary,35
Shankar-Ehsaan-Loy,Uff Teri Adaa,35
The Shins,Caring Is Creepy,34
Phoenix,Lisztomania,34
A.R. Rahman,Munbe Va,34
Flunk,Spring to Kingdom Come,34
Jacek Utko,TEDTalks : Can design save the newspaper? - Jacek Utko (2009),32
Yochai Benkler,TEDTalks : Open-source economics - Yochai Benkler (2005),32
Coldplay,Adventure Of A Lifetime,31
The Weepies,Gotta Have You,31
A.R. Rahman,Barso Re,30
Colin Hay,I Just Don't Think I'll Ever Get Over You,30
Kings of Convenience,I'd Rather Dance With You (Radio Mix),30
Coldplay,Moses (Live),30
Gustavo Santaolalla,Quiebre Fuego Y Revelación,30
The Doors,Break on Through (to the Other Side),29
Frou Frou,Breathe In,29
Red Hot Chili Peppers,Charlie,29
Nick Drake,One of These Things First,29
Control Machete,Sí Señor,29
Red Hot Chili Peppers,We Believe,29
Vidyasagar,Yaar Yaar Sivam,29
Phoenix,Armistice,28
Porcupine Tree,Slave Called Shiver,28
Red Hot Chili Peppers,Snow (Hey Oh),28
Jal,Aadat,27
Dan Ariely,"TEDTalks : Dan Ariely asks, Are we in control of our own decisions?  - Dan Ariely (2008)",27
Titán,Corazón,26
Regina Spektor,Fidelity,26
Bitter:Sweet,Heaven,26
A.R. Rahman,Mayya,26
The Doors,Shaman's Blues,26
Two Door Cinema Club,Standing on Ghosts,26
Radiohead,Street Spirit (Fade Out),26
Dream Theater,The Glass Prison,26
hindi pop,20100923-0634-[www.flv2mp3.com],25
Norah Jones,Chasing Pirates,25
Red Hot Chili Peppers,Dani California,25
Feist,One Evening,25
hoops,Rules,25
Norah Jones,Sinkin' Soon,25
Interpol,All Fired Up,24
Someone Still Loves You Boris Yeltsin,Gwyneth,24
65daysofstatic,Supermoon,24
The Who,Eminence Front,23
Clint Mansell,First Snow,23
Dream Theater,Learning to Live,23
Mohit Chauhan,Masakali [Dilli 6],23
David Bowie,Space Oddity,23
"A. R. Rahman, Sid Sriram & Aaryan Dinesh Kanagaratnam",Thalli Pogathey,23
Damien Rice,The Blowers Daughter,23
Opeth,Windowpane,23
"Ryuichi Sakamoto, Jaques Morelenbaum & Everton Nelson / Gustavo Santaolalla",Bibo no Aozora/Endless Flight/Babel,22
Coldplay,High Speed,22
Coldplay,See You Soon,22
The Beatles,All You Need Is Love,21
"Blaaze, Benny, Tanvi, Viviane & Claire",Dilli-6 [Dilli 6],21
Led Zeppelin,"Hey, Hey What Can I Do",21
Two Door Cinema Club,I Can Talk,21
"A. R. Rahman, Benny & Tanvi",Rehna Tu [Dilli 6],21
Coldplay,The Scientist,21
Coldplay,A Message,20
Coldplay,Bigger Stronger,20
The Raveonettes,D.R.U.G.S.,20
Coldplay,Fix You,20
Red Hot Chili Peppers,Hump de Bump,20
The Beatles,I Am the Walrus,20
Shankar-Ehsaan-Loy,Johnny Gaddar,20
A.R. Rahman,Title Credits,20
Opeth,To Bid You Farewell,20
Ryan Adams,Wonderwall (Acoustic),20
Two Door Cinema Club,Do You Want It All?,19
Two Door Cinema Club,"Eat That Up, It's Good for You",19
Cary Brothers,Ghost Town,19
Kings of Convenience,I'd Rather Dance With You,19
Pearl Jam,Jeremy,19
Preetam,Kya Mujhe Pyaar Hai,19
A.R. Rahman,Paatshala,19
Alexi Murdoch,Song for You,19
Opeth,Still Day Beneath the Sun,19
Clint Mansell,Summer Overture,19
Two Door Cinema Club,You're Not Stubborn,19
Erlend Øye,A Sudden Rush (w/Kompis),18
A.R. Rahman,Ay Hairathe,18
Bryan Adams,Cloud Number Nine,18
Two Door Cinema Club,Costume Party,18
Clint Mansell,Hope Overture,18
Shankar-Ehsaan-Loy,Kholo Kholo,18
Coldplay,Low,18
A.R. Rahman,Pray for me brother,18
A.R. Rahman,Roobaroo,18
Coldplay,Speed of Sound,18
Coldplay,Swallowed in the Sea,18
Renny Gleeson,TEDTalks : Busted! The sneaky moves of anti-social smartphone users  - Renny Gleeson (2009),18
Bitter:Sweet,Bittersweet Faith,17
Clint Mansell,Death Is a Disease,17
Iron & Wine,Faded From the Winter,17
Someone Still Loves You Boris Yeltsin,House Fire,17
Coldplay,I Ran Away,17
Goo Goo Dolls,Iris,17
Shankar-Ehsaan-Loy,Mera Jahan,17
Flunk,On My Balcony,17
Siddharth,Oy ! Oy !,17
A.R. Rahman,Paatshala - Be a Rebel,17
Clint Mansell,Supermarket Sweep,17
Coldplay,The Hardest Part,17
Simon & Garfunkel,The Sound of Silence,17
Apple Movie Trailers,Trailer 1,17
Coldplay,Trouble,17
The Beatles,Within You Without You / Tomorrow Never Knows,17
Coldplay,Yellow,17
Opeth,Blackwater Park,16
The Whitest Boy Alive,Burning,16
Afterlife,Cry (Brown Bear Mix),16
Bill Elm and Woody Jackson,Horseplay,16
Two Door Cinema Club,Kids,16
Fufanu,Liability,16
Radiohead,Lucky,16
Anushka Manchanda,Mit Jaaye Gham (Dum Maaro Dum) [www.DJMaza.Com],16
Radiohead,Paranoid Android,16
Porcupine Tree,Pure Narcotic,16
Ryan Adams,The Last Dance,16
The Killers,The Man,16
Norah Jones,Don't Know Why,15
A.R. Rahman,Ek Lo Ek Muft,15
Kings of Convenience,Know-How,15
Vishal Dadlani -  www.DesiUpdate.com,Kurbaan Hua -  www.DesiUpdate.com,15
